genus,species_epithet,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,ca1,ca5,ca6,ca7,ca8,ca9,ca14
„Fibulapollis“,scabratus,4,0,0,0,0,2,1,5,1,3,0,?,1,0,?,?,?,0,?,1,0,0,2,?,?,?,?,?,?,1,0,2,0,3,0,0
„Momipites“,parvus,9,0,0,?,0,2,1,2,?,?,0,?,1,?,?,0,?,?,?,?,?,?,0,?,0,?,?,0,0,4,0,2,0,2,?,?
„Pandaniidites“,typicus,8,?,0,0,0,?,?,?,?,?,0,?,1,0,?,3,?,?,?,?,?,?,1,?,?,?,?,?,?,?,0,?,?,?,?,0
Aesculiidites,circumstriatus,4,2,0,0,0,1,0,0,1,?,?,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,1,1,0,0
Aff. Tricolpites,crassimurus (Doyle and Robbins 1977),4,2,0,?,0,?,?,0,1,?,?,?,1,0,?,6,?,1,1,?,?,?,?,?,?,?,?,?,?,1,0,?,?,1,0,0
Alnipollenites,trina,9,0,0,0,0,2,1,2,?,?,0,?,1,0,?,0,?,?,?,?,?,?,1,0,0,1,0,0,0,4,0,2,0,2,?,0
Alnipollenites,verus,A,0,0,0,0,4,1,2,?,?,0,?,1,0,?,0,?,?,?,?,?,?,1,0,?,1,0,0,0,4,0,3,0,2,?,0
Aquilapollenites,aptus,4,0,0,0,0,2,1,4,1,3,?,?,1,1,1,?,?,?,?,1,3,0,?,?,?,?,?,?,?,1,0,2,0,3,0,1
Aquilapollenites,attenuatus,4,0,0,0,0,2,?,4,2,2,1,?,1,0,?,6,?,1,?,1,3,0,2,?,?,?,?,?,?,1,0,2,?,3,1,0
Aquilapollenites,bertillonites,4,0,0,0,0,2,?,4,1,2,?,?,1,0,?,5,?,?,?,?,?,1,?,?,?,?,?,?,?,1,0,2,?,3,0,0
Aquilapollenites,catenreticulatus,4,0,0,0,0,2,2,4,2,2,3,?,1,?,?,6,?,1,1,?,?,2,2,?,?,?,?,?,?,1,0,2,1,3,1,?
Aquilapollenites,clarireticulatus,4,0,0,1,0,2,2,4,2,3,1,?,1,1,3,6,?,1,2,0,?,1,2,?,?,?,?,?,?,1,0,2,1,3,1,1
Aquilapollenites,collaris,4,0,0,0,0,2,2,5,2,2,1,?,1,1,0,6,?,1,1,1,3,0,?,?,?,?,?,?,?,1,0,2,1,3,1,1
Aquilapollenites,conatus,4,0,0,0,0,2,2,4,2,2,?,?,1,0,?,?,?,0,?,1,6,0,?,?,?,?,?,?,?,1,0,2,1,3,1,0
Aquilapollenites,delicatus,4,0,0,0,0,2,2,5,2,2,2,?,1,1,3,6,?,1,2,1,3,0,2,?,?,?,?,?,?,1,0,2,1,3,1,1
Aquilapollenites,polaris,4,0,0,0,0,2,?,5,1,3,?,?,1,0,?,6,?,1,0,1,3,0,2,?,?,?,?,?,?,1,0,2,?,3,0,0
Aquilapollenites,pyriformis,4,?,0,0,0,2,?,6,1,3,?,?,1,1,3,5,?,?,?,?,?,0,2,?,?,?,?,?,?,1,0,2,?,3,0,1
Aquilapollenites,quadrilobus,4,0,0,0,0,2,?,5,?,2,1,0,1,1,0,6,?,1,0,1,3,0,2,?,?,?,?,?,?,1,0,2,?,3,?,1
Aquilapollenites,reductus,4,2,0,0,0,2,1,4,2,1,1,?,1,1,5,6,?,1,2,0,?,1,?,?,?,?,?,?,?,1,0,2,0,3,1,1
Aquilapollenites,reticulatus,4,2,0,0,0,2,1,4,2,?,?,?,1,1,2,6,?,1,2,?,?,2,?,?,?,?,?,?,?,1,0,2,0,3,1,1
Aquilapollenites,senonicus,4,0,0,0,0,2,2,5,1,?,?,?,1,1,5,6,?,?,2,?,?,1,2,?,?,?,?,?,?,1,0,2,1,3,0,1
Aquilapollenites,stelckii,4,?,0,?,0,2,1,4,1,2,?,?,1,1,?,6,?,1,2,?,?,0,?,?,?,?,?,?,?,1,0,2,0,3,0,1
Aquilapollenites,trialatus trialatus,4,2,0,0,0,2,2,4,2,0,?,?,1,1,?,6,?,1,2,0,?,1,?,?,?,?,?,?,?,1,0,2,1,3,1,1
Aquilapollenites,trialatus uniformis,4,2,0,0,0,2,2,4,1,3,?,?,1,0,?,6,?,1,?,?,?,1,?,?,?,?,?,?,?,1,0,2,1,3,0,0
Aquilapollenites,turbidus,4,0,0,0,0,2,2,4,1,2,1,?,1,1,1,6,?,1,0,1,3,0,2,?,?,?,?,?,?,1,0,2,1,3,0,1
Arecipites,columellus,1,?,0,0,0,0,1,2,?,?,1,0,1,0,?,6,0,1,0,0,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,0
Arecipites,tenuiexinous,1,?,0,0,0,0,1,?,?,?,0,?,1,0,?,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,?,?,0
Artiopollis,indivisus,4,0,0,0,1,3,?,?,?,?,2,0,1,0,?,6,?,1,1,?,?,?,0,?,?,?,?,?,?,1,1,2,?,?,?,0
Artiopollis,praecox,4,0,0,0,1,1,1,?,?,?,2,0,1,0,?,6,?,1,1,?,?,?,0,?,?,?,?,?,?,1,1,1,0,?,?,0
Asteropollis,asteroides,2,?,0,0,0,1,1,2,?,?,1,1,1,0,?,6,0,1,1,0,?,?,?,?,?,?,?,?,?,1,0,1,0,0,?,0
Asteropollis,clavatus,3,?,0,0,0,1,1,2,?,?,1,0,1,0,?,6,?,1,?,?,?,?,?,?,?,?,?,?,?,1,0,1,0,0,?,0
Asteropollis,vulgaris,2,?,0,0,0,1,?,?,?,?,1,0,1,0,?,6,0,1,2,?,?,?,0,?,?,?,?,?,?,1,0,1,?,0,?,0
Atlantopollis,verrucosus,9,0,0,0,0,2,1,3,?,?,?,?,1,?,?,?,?,?,?,?,?,?,1,?,?,0,0,?,0,4,0,2,0,3,?,?
Brenneripollis,gracilis,1,?,0,0,0,0,1,?,?,?,2,0,1,1,0,6,0,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,?,?,1
Brenneripollis,peroreticulatus,1,?,0,0,0,0,1,?,?,?,3,0,1,1,0,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,?,?,1
Brenneripollis,potomacensis,1,?,0,0,0,0,1,?,?,?,2,0,1,1,0,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,?,?,1
Brenneripollis,textus,1,?,0,0,0,0,1,?,0,?,2,0,1,1,0,6,0,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,?,1,1
Caprifolipites,acopus,5,2,0,0,0,1,0,0,1,?,2,?,1,1,2,6,?,1,0,?,?,?,0,?,?,?,?,?,?,3,9,1,1,1,0,1
Casuarinidites,convexus,9,0,0,0,0,2,1,2,?,?,1,0,1,?,?,?,?,?,?,?,?,?,1,1,1,?,?,0,0,4,0,2,0,2,?,?
Choanopollenites,consanguinus,9,0,0,0,0,2,1,2,0,?,2,?,0,?,?,?,?,?,?,?,?,?,1,3,0,0,0,1,0,4,0,2,0,2,1,?
Choanopollenites,discipulus,9,0,0,0,0,2,1,?,?,?,2,?,1,1,2,1,?,?,?,?,?,?,1,3,0,0,0,1,0,4,0,2,0,?,?,1
Clavatipollenites,hughesii,1,?,0,0,0,0,1,?,1,?,1,0,1,0,?,6,0,1,0,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,0,0
Clavatipollenites,minutus,1,?,0,0,0,0,0,?,?,?,?,?,1,1,0,6,0,1,2,0,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Clavatipollenites,sp. A (Doyle and Robbins 1977),1,?,0,?,0,0,1,?,?,?,?,?,1,0,?,6,0,1,2,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,?,0
Clavatipollenites,tenellus,1,?,0,0,0,2,1,?,?,?,?,0,1,0,?,6,0,1,1,?,?,?,?,?,?,?,?,?,?,0,0,1,0,0,?,0
Complexiopollis,abditus,9,0,0,0,0,2,1,2,?,?,0,?,0,?,?,?,?,?,?,?,?,?,1,4,0,1,0,1,0,4,0,2,0,2,?,?
Complexiopollis,exigua,9,0,0,0,0,2,1,?,?,?,1,?,1,?,?,0,?,?,?,?,?,?,1,2,0,0,0,1,0,4,0,2,0,?,?,?
Complexiopollis,funiculus,9,0,0,0,0,2,1,3,1,?,1,?,1,0,?,0,?,?,?,?,?,?,1,3,?,1,0,1,0,4,0,2,0,3,0,0
Complexiopollis,microverrucosus,9,0,0,0,0,2,1,3,?,?,1,?,1,0,?,1,?,?,?,?,?,?,1,4,?,1,0,1,0,4,0,2,0,3,?,0
Complexiopollis,patulus,9,0,0,0,0,2,1,3,1,?,0,?,0,?,?,?,?,?,?,?,?,?,1,4,0,0,0,1,0,4,0,2,0,3,0,?
Cranwellia,bacata,4,2,0,0,0,2,1,?,?,?,?,?,1,?,?,?,?,?,?,1,6,?,0,?,?,?,?,?,?,1,0,2,0,?,?,?
Cranwellia,rumseyensis,5,2,0,0,0,2,1,?,?,?,?,?,1,0,?,?,?,?,?,1,6,?,0,?,?,?,?,?,?,3,0,2,0,?,?,0
Cranwellia,striata,5,2,0,0,0,2,1,3,?,?,?,?,1,0,?,6,?,1,0,1,6,?,0,?,?,?,?,?,?,3,0,2,0,3,?,0
Cupanieidites,carlquistii,C,?,0,0,0,2,1,?,?,?,1,?,1,0,?,6,0,1,2,?,?,?,0,?,?,?,?,?,?,3,0,2,0,?,?,0
Cupanieidites,major,C,?,0,0,0,2,1,?,?,?,1,?,1,0,?,6,?,1,?,?,?,?,0,?,?,?,?,?,?,3,0,2,0,?,?,0
Cupanieidites,reticularis,C,?,0,0,0,2,1,?,?,?,?,1,1,0,?,6,?,?,2,?,?,?,0,?,?,?,?,?,?,3,0,2,0,?,?,0
Cupuliferoidaepollenites,levitas,4,2,0,0,0,1,1,1,1,?,1,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,0,0,?
Cupuliferoidaepollenites,mutabilis,4,2,0,0,0,2,1,2,?,?,0,?,1,1,2,0,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,2,0,2,?,1
Cupuliferoidaepollenites,parvulus,4,2,0,0,0,1,0,0,0,?,1,?,0,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,1,1,1,?
Cyrillaceaepollenites,megaexactus,5,2,0,0,0,2,1,?,?,?,0,?,1,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,3,0,2,0,?,?,?
Dichastopollenites,dunveganensis,B,?,0,0,0,0,?,1,2,?,2,?,1,0,?,6,0,1,2,0,?,?,0,?,?,?,?,?,?,?,0,0,?,0,1,0
Dicotetradites,granulatus,8,?,?,0,1,?,1,?,?,?,0,?,1,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,0,?,?,?
Dryadopollis,argus,5,2,0,0,0,1,1,2,1,?,1,0,1,1,5,6,?,1,1,0,?,?,0,?,?,?,?,?,?,3,0,1,0,2,0,1
Dryadopollis,vestalis,5,2,0,0,0,1,1,?,1,?,2,0,1,1,5,6,?,1,2,?,?,?,0,?,?,?,?,?,?,3,0,1,0,?,0,1
Echimonocolpites,acanthus,1,?,0,0,0,0,2,?,?,?,1,0,1,0,?,?,?,0,?,1,4,?,0,?,?,?,?,?,?,0,0,0,1,0,?,0
Echimonocolpites,spinosus,1,?,0,0,0,0,2,?,?,?,1,0,1,0,?,?,?,0,?,1,3,?,0,?,?,?,?,?,?,0,0,0,1,0,?,0
Endoinfundibulapollis,distinctus,9,0,0,0,0,2,1,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,1,3,0,0,0,1,0,4,0,2,0,?,?,?
Erdtmanipollis,procumbentiformis,A,5,0,0,0,1,2,1,2,?,2,0,1,0,?,6,?,1,2,1,7,?,0,?,?,?,?,?,?,4,0,1,1,0,1,0
Ericipites,rallus,4,0,?,0,1,?,1,?,?,?,0,?,1,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,1,1,?,0,?,?,?
Extremipollis,caminus,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,1,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,1
Extremipollis,versatilis,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,7,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,1
Extremipollis,visus,9,0,0,0,0,2,1,?,?,?,1,?,1,1,2,7,?,?,?,?,?,?,1,3,1,0,0,1,0,4,0,2,0,?,?,1
Foveotetradites,dignatus,4,2,0,0,1,?,1,?,?,?,1,0,1,1,5,6,?,?,0,?,?,?,0,?,?,?,?,?,?,1,1,?,0,?,?,1
Foveotetradites,fisulosus,4,2,0,0,1,3,1,?,1,?,2,0,1,1,5,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,1,2,0,?,0,1
Foveotricolpites,concinnus,4,2,0,0,0,?,1,0,1,?,1,0,1,1,?,6,0,1,0,?,?,?,1,?,?,?,?,?,?,1,0,?,0,1,0,1
Foveotricolpites,robustus,4,2,0,0,0,1,1,0,1,?,1,0,1,1,5,6,?,?,0,?,?,?,1,?,?,?,?,?,?,1,0,1,0,1,0,1
Foveotricolporites,callosus,5,2,0,0,0,2,1,0,1,?,2,0,1,1,5,6,?,1,0,?,?,?,1,?,?,?,?,?,?,3,0,2,0,1,0,1
Fraxinoipollenites,constrictus,4,2,0,0,0,?,1,0,1,?,1,?,1,0,?,6,0,1,1,?,?,?,?,?,?,?,?,?,?,1,0,?,0,1,0,0
Fraxinoipollenites,variabilis,4,2,0,0,0,?,1,0,1,?,1,?,1,0,?,6,?,1,0,?,?,?,0,?,?,?,?,?,?,1,0,?,0,1,0,0
Fraxinoipollenites,venustus,4,2,0,0,0,?,1,0,1,?,1,0,1,1,3,6,0,1,0,?,?,?,0,?,?,?,?,?,?,1,0,?,0,1,0,1
Gemmatricolpites,gemmatus,4,2,?,0,0,1,0,0,1,?,1,?,1,1,0,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,1,1,1,0,1
Grewipollenites,canadensis,4,2,0,0,0,1,1,2,?,?,?,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,0,2,?,0
Grewipollenites,radiatus,4,2,0,0,0,1,0,?,?,?,1,?,1,0,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,1,1,?,?,0
Haloragacidites,quadratus,A,0,0,0,0,4,1,?,?,?,0,?,1,?,?,0,?,?,?,?,?,?,1,?,0,?,0,0,0,4,0,3,0,?,?,?
Hammenia,fredericksburgensis,6,0,0,0,0,1,1,2,1,?,1,?,1,0,?,6,?,1,0,1,0,?,0,?,?,?,?,?,?,1,0,1,0,2,0,0
Holkopollenites,chemardensis,5,2,0,0,0,2,2,2,?,?,?,1,1,1,?,4,?,?,?,?,?,?,?,?,?,?,?,?,?,3,0,2,1,2,?,1
Inaperturotetradites,scabratus,0,?,?,0,1,1,1,1,1,?,0,?,1,0,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,0,0,0,0
Interpollis,paleocenicus,A,1,0,0,0,2,1,?,?,?,1,?,1,1,1,?,?,0,?,1,?,?,0,1,1,0,0,1,0,4,0,2,0,?,?,1
Kurtzipites,annulatus,5,0,0,0,0,2,1,2,?,?,?,?,1,?,?,6,?,?,0,?,?,?,1,?,?,?,?,?,?,3,0,2,0,2,?,?
Kurtzipites,circularis,9,0,0,0,0,1,1,2,?,?,0,?,1,?,?,0,?,?,?,?,?,?,1,?,0,0,0,0,0,4,0,1,0,2,?,?
Kurtzipites,trispissatus,5,0,0,0,0,2,1,2,1,?,1,?,1,?,?,?,?,0,?,1,3,?,2,?,?,?,?,?,?,3,0,2,0,2,0,?
Libopollis,jarzenii,D,2,1,0,0,1,1,?,?,?,1,0,1,1,5,6,0,1,2,0,?,?,?,?,?,?,?,?,?,3,0,1,0,?,?,1
Liliacidites,altimurus,1,?,0,0,0,0,1,?,?,?,3,0,1,1,?,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,complexus,1,?,0,0,0,?,2,?,?,?,?,?,1,1,1,6,1,1,2,0,?,?,0,?,?,?,?,?,?,0,0,?,1,0,?,1
Liliacidites,dictyotus,1,?,0,0,0,0,1,?,?,?,1,0,1,1,6,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,doylei,1,?,0,0,0,0,2,?,?,?,0,0,1,1,3,6,?,1,2,0,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,giganteus,1,?,0,0,0,0,2,?,?,?,2,0,1,1,6,6,1,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,inaequalis,1,?,0,0,0,0,2,?,?,?,1,1,1,1,3,6,0,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,kiowaensis,1,?,0,0,0,0,1,?,?,?,1,0,1,1,2,6,?,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,leei,1,?,0,0,0,0,1,2,?,?,0,?,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,lenticularis,1,?,0,0,0,0,1,?,?,?,1,0,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,magnus,1,?,0,0,0,0,2,?,?,?,1,0,1,1,6,6,1,1,0,1,0,?,0,?,?,?,?,?,?,0,0,0,1,0,?,1
Liliacidites,morrinensis,1,?,0,0,0,0,1,?,?,?,0,?,1,1,6,6,?,1,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,sp. A (Doyle and Robbins 1977),1,?,0,?,0,0,1,?,?,?,?,?,1,1,3,6,?,1,2,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,?,1
Liliacidites,tectatus,1,?,0,0,0,1,1,?,?,?,1,0,1,1,1,6,?,?,2,?,?,?,?,?,?,?,?,?,?,0,0,1,0,0,?,1
Liliacidites,variegatus,1,?,0,0,0,0,1,?,?,?,1,1,1,1,3,6,?,?,2,?,?,?,0,?,?,?,?,?,?,0,0,0,0,0,?,1
Mancicorpus,calvus,4,?,0,0,0,2,2,6,1,1,2,?,1,1,?,6,?,1,?,1,3,0,2,?,?,?,?,?,?,1,0,2,1,3,0,1
Mancicorpus,tripodiformis,7,?,0,0,0,2,2,6,0,2,?,?,1,1,?,5,?,?,?,?,?,?,0,?,?,?,?,?,?,1,0,2,1,3,1,1
Margocolporites,cribellatus,5,2,0,0,0,1,1,2,?,?,1,0,1,0,?,6,?,1,0,0,?,?,1,?,?,?,?,?,?,3,0,1,0,2,?,0
Margocolporites,lihokus,5,2,0,0,0,1,2,2,?,?,2,1,1,1,5,6,?,1,2,0,?,?,1,?,?,?,?,?,?,3,0,1,1,2,?,1
Margocolporites,taylorii,5,2,0,0,0,1,1,?,?,?,?,?,1,0,?,6,?,1,2,1,0,?,1,?,?,?,?,?,?,3,0,1,0,?,?,0
Minorpollis,minima,9,0,0,0,0,2,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,1,3,0,0,0,?,0,4,0,2,1,?,?,?
Momipites,fragilis,9,0,0,0,0,2,0,?,?,?,0,1,1,1,2,0,?,?,?,?,?,?,0,1,0,0,0,0,0,4,0,2,1,?,?,1
Momipites,tenuipolus,9,0,0,0,0,2,0,2,?,?,?,?,1,?,?,?,?,?,?,?,?,?,1,?,?,0,0,0,0,4,0,2,1,2,?,?
Momipites,wyomingensis,9,0,0,0,0,2,1,2,?,?,0,?,1,0,?,0,?,?,?,?,?,?,1,1,0,0,0,0,0,4,0,2,0,2,?,0
Monosulcites,tectatus,1,?,0,0,0,0,1,?,?,?,1,0,1,0,?,6,?,1,?,1,0,?,0,?,?,?,?,?,?,0,0,0,0,?,?,0
Montanapollis,endannulatus,9,0,0,0,0,2,2,?,?,?,3,?,1,1,2,4,?,?,?,?,?,?,0,5,0,0,0,?,0,4,0,2,1,?,?,1
Myrtipites,granulatus,9,0,0,0,0,2,1,?,?,?,2,?,1,?,?,?,?,0,?,1,0,?,?,3,1,0,?,1,0,4,0,2,0,?,?,?
