genus,species_epithet,Maastrichtian,boundary,Paleocene,pre_lat1,post_lat1,pre_lat2,post_lat2,Monosulcate,Porate,Colpate,Triprojectacites,Other
Albertipollenites,rosalindii,1,0,0,0,0,1,0,0,0,1,0,0
Alnipollenites,finitimus,1,0,1,0,0,1,1,0,1,0,0,0
Alnipollenites,trina,1,0,1,0,1,1,1,0,1,0,0,0
Anacolosidites,rotundus,1,0,0,1,0,0,0,0,1,0,0,0
Aquilapollenites,amicus,1,0,0,0,0,1,0,0,0,1,1,0
Aquilapollenites,attenuatus,1,1,1,1,1,1,0,0,0,1,1,0
Aquilapollenites,augustus,1,0,0,0,0,1,0,0,0,1,1,0
Aquilapollenites,bertillonites,1,0,0,1,0,1,0,0,0,1,1,0
Aquilapollenites,catenireticulatus,1,0,0,1,0,0,0,0,0,1,1,0
Aquilapollenites,collaris,1,0,1,1,1,0,0,0,0,1,1,0
Aquilapollenites,conatus,1,1,1,1,1,1,0,0,0,1,1,0
Aquilapollenites,delicatus,1,1,0,1,0,1,0,0,0,1,1,0
Aquilapollenites,funkhouseri,1,0,0,0,0,1,0,0,0,1,1,0
Aquilapollenites,immiser,1,0,1,0,0,1,1,0,0,1,1,0
Aquilapollenites,marmarthensis,1,0,1,1,1,0,0,0,0,1,1,0
Aquilapollenites,mtchedlishvili,1,0,1,1,1,0,0,0,0,1,1,0
Aquilapollenites,notabile,1,0,0,0,0,1,0,0,0,1,1,0
Aquilapollenites,oblatus,1,0,0,1,0,1,0,0,0,1,1,0
Aquilapollenites,pyriformis,1,0,0,1,0,0,0,0,0,1,1,0
Aquilapollenites,quadricretaeus,1,0,1,1,1,1,0,0,0,1,1,0
Aquilapollenites,quadrilobus,1,1,1,1,1,1,1,0,0,1,1,0
Aquilapollenites,reductus,1,0,1,1,1,1,0,0,0,1,1,0
Aquilapollenites,reticulatus,1,0,1,1,1,1,1,0,0,1,1,0
Aquilapollenites,senonicus,1,0,0,1,0,1,0,0,0,1,1,0
Aquilapollenites,sentus,1,0,0,0,0,1,0,0,0,1,1,0
Aquilapollenites,turbidus,1,0,0,1,0,0,0,0,0,1,1,0
Aquilapollenites,vulsus,1,0,0,1,0,1,0,0,0,1,1,0
Arecipites,columellus,1,0,1,1,1,0,0,1,0,0,0,0
Arecipites,tenuiexinous,1,0,1,1,1,0,0,1,0,0,0,0
Bratzevaea,amurensis,1,0,0,0,0,1,0,0,0,1,1,0
Brevicolporites,colpella,1,0,1,1,1,0,1,0,1,0,0,0
Callistopollenites,radiatostriatus,1,0,0,0,0,1,0,0,0,1,0,0
Cranwellia,edmontonensis,1,0,0,1,0,1,0,0,0,1,0,0
Cranwellia,rumseyensis,1,0,0,1,0,1,0,0,0,1,0,0
Cranwellia,subtilis,0,0,1,0,0,0,1,0,0,1,0,0
Cupanieidites,inaequalis,1,0,1,1,1,0,0,0,0,1,0,0
Dyadonapites,reticulatus,1,1,1,1,1,0,0,0,0,0,0,1
Erdtmanipollis,cretaceus,1,0,1,1,1,0,0,0,1,0,0,0
Erdtmanipollis,procumbentiformis,1,0,1,0,0,1,1,0,1,0,0,0
Ericipites,rallus,1,0,1,1,1,1,1,0,0,1,0,0
Eucommia,leopoldae,1,0,0,1,0,0,0,0,0,1,0,0
Fraxinoipollenites,variabilis,1,0,1,1,1,1,1,0,0,1,0,0
Inaperturotetradites,scabratus,1,0,1,1,1,0,0,0,0,0,0,1
Insulapollenites,rugulatus,0,0,1,0,0,0,1,0,0,1,0,0
Jiangsupollis,major,1,0,0,0,0,1,0,0,0,1,0,0
Kurtzipites,circularis,1,1,1,1,1,0,1,0,1,0,0,0
Kurtzipites,trispissatus,1,0,1,1,1,1,1,0,0,1,0,0
Lanagiopollis,lihokus,1,0,1,1,1,0,0,0,0,1,0,0
Leptopecopites,pocockii,1,0,1,1,1,1,1,0,0,1,0,0
Libopollis,jarzenii,1,0,0,1,0,0,0,0,0,1,0,0
Liliacidites,altimurus,1,0,1,1,1,0,0,1,0,0,0,0
Liliacidites,complexus,1,1,1,1,1,1,0,1,0,0,0,0
Liliacidites,leei,1,1,1,1,1,0,0,1,0,0,0,0
Mancicorpus,gibbus,1,0,0,0,0,1,0,0,0,1,1,0
Marsypiletes,cretacea,1,0,1,1,1,1,0,1,0,0,0,0
Momipites,inaequalis,1,0,1,1,1,0,0,0,1,0,0,0
Momipites,leffingwellii,0,0,1,0,0,0,1,0,1,0,0,0
Momipites,microfoveolatus,0,0,1,0,0,0,1,0,1,0,0,0
Momipites,tenuipolus,0,0,1,0,1,0,1,0,1,0,0,0
Momipites,wyomingensis,0,0,1,0,0,0,1,0,1,0,0,0
Myrtaceidites,solidus,1,0,0,0,0,1,0,0,0,1,0,0
Myrtipites,granulatus,1,0,0,1,0,0,0,0,1,0,0,0
Myrtipites,scabratus,1,0,0,1,0,1,0,0,1,0,0,0
Nyssapollenites,bindae,1,0,1,0,0,1,1,0,0,1,0,0
Nyssoidites,anulatus,1,0,0,0,0,1,0,0,0,1,0,0
Orbiculapollis,lucidus,1,0,0,1,0,1,0,0,0,1,1,0
Pandaniidites,typicus,1,1,1,1,1,1,1,0,0,0,0,1
Paraalnipollenites,alterniporus,1,0,1,0,0,1,1,0,1,0,0,0
Penetetrapites,inconspicuus,1,0,1,1,1,1,1,0,1,0,0,0
Phaseoliidites,stanleyi,0,0,1,0,0,0,1,0,0,1,0,0
Polotricolporites,rotundus,1,0,1,0,0,1,1,0,0,1,0,0
Polyatriopollenites,levis,1,0,0,1,0,0,0,0,1,0,0,0
Polyvestibulopollenites,verus,0,0,1,0,0,0,1,0,1,0,0,0
Porosipollis,porosus,1,0,0,1,0,1,0,0,0,1,0,0
Pulcheripollenites,inrasus,1,0,0,0,0,1,0,0,1,0,0,0
Quercoidites,genustriatus,1,0,1,0,0,1,1,0,0,1,0,0
Quercoidites,sternbergii,1,0,1,0,0,1,1,0,0,1,0,0
Racemonocolpites,formosus,1,0,1,1,1,1,0,1,0,0,0,0
Retibrevitricolporites,beccus,1,0,0,1,0,0,0,0,0,1,0,0
Retitrescolpites,anguloluminosus,1,0,1,1,1,0,1,0,0,1,0,0
Retitricolpites,crassus,1,0,1,0,0,1,1,0,0,1,0,0
Rutihesperipites,trochuensis,1,0,1,0,0,1,1,0,0,1,0,0
Scollardia,trapaformis,1,0,0,0,0,1,0,0,0,1,0,0
Senipites,drumhellerensis,1,0,0,0,0,1,0,0,0,1,0,0
Striatellipollis,radiata,1,0,0,0,0,1,0,0,0,1,0,0
Striatellipollis,striatellus,1,1,1,1,1,1,1,0,0,1,0,0
Striatopollis,tectatus,1,0,1,1,1,0,0,0,0,1,0,0
Styxpollenites,calamitas,1,0,0,1,0,0,0,0,0,1,0,0
Syncolporites,minimus,1,0,1,1,1,1,1,0,0,1,0,0
Thomsonipollis,magnificus,1,0,1,1,1,0,0,0,1,0,0,0
Triatriopollenites,granulatus,1,0,1,1,1,0,0,0,1,0,0,0
Triatriopollenites,subtriangulus,1,0,1,1,1,0,0,0,1,0,0,0
Tricolpites,cellatus,1,0,0,0,0,1,0,0,0,1,0,0
Tricolpites,hians,1,0,1,1,1,0,0,0,0,1,0,0
Tricolpites,microreticulatus,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,parvistriatus,1,1,1,1,1,1,1,0,0,1,0,0
Tricolpites,vulgaris,1,0,1,0,0,1,1,0,0,1,0,0
Tricolporopollenites,kruschii,0,0,1,0,0,0,1,0,0,1,0,0
Triporopollenites,granilabratus,1,0,1,1,0,1,1,0,1,0,0,0
Triporopollenites,mullensis,1,0,1,0,0,1,1,0,1,0,0,0
Triporopollenites,plektosus,1,0,1,1,1,1,1,0,1,0,0,0
Triporopollenites,triplicatus,1,0,1,1,1,0,0,0,1,0,0,0
Triprojectus,unicus,1,0,0,0,0,1,0,0,0,1,1,0
Tschudypollis,retusus,1,1,0,1,0,0,0,0,1,0,0,0
Ulmipollenites,hebridicus,1,0,1,0,0,1,1,0,1,0,0,0
Ulmipollenites,krempii,1,0,1,1,1,1,1,0,1,0,0,0
Ulmipollenites,planaeriformis,1,0,1,0,0,1,1,0,1,0,0,0
Wodehouseia,avita,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,fimbriata,1,0,1,0,1,1,1,0,1,0,0,0
Wodehouseia,gracile,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,octospina,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,quadrispina,1,0,0,0,0,1,0,0,1,0,0,0
Wodehouseia,spinata,1,1,1,1,1,1,1,0,1,0,0,0
Wodehouseia,vestivirgata,1,0,0,0,0,1,0,0,1,0,0,0
Zonosulcites,scollardensis,1,0,0,0,0,1,0,1,0,0,0,0
